<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20220721,140000,192.4500000,192.5000000,190.4200000,191.8200000,2648280
GAZP,60,20220721,150000,191.8400000,192.1600000,190.4800000,190.7500000,1320730
GAZP,60,20220721,160000,190.7500000,191.2500000,190.1500000,190.7200000,1012480
GAZP,60,20220721,170000,190.7400000,191.0000000,188.7100000,189.6500000,1733350
GAZP,60,20220721,180000,189.7700000,190.3300000,188.9100000,189.5600000,1223410
GAZP,60,20220721,190000,189.5600000,189.9000000,189.3300000,189.5900000,1000430
GAZP,60,20220722,110000,189.3000000,191.5000000,188.6000000,190.7700000,4632390
GAZP,60,20220722,120000,190.7700000,191.8500000,190.2100000,191.3700000,2357430
GAZP,60,20220722,130000,191.3500000,191.4000000,190.5000000,190.9700000,1234430
GAZP,60,20220722,140000,190.9700000,192.6800000,190.8300000,192.1700000,2958920
GAZP,60,20220722,150000,192.1200000,192.9500000,191.8000000,192.6000000,1864070
GAZP,60,20220722,160000,192.6000000,192.6800000,192.0000000,192.1000000,1166510
GAZP,60,20220722,170000,192.1000000,192.3000000,191.8500000,192.1300000,974340
GAZP,60,20220722,180000,192.1000000,192.2500000,191.5400000,191.9000000,1263410
GAZP,60,20220722,190000,191.9000000,192.2500000,191.7500000,192.2500000,1352870
GAZP,60,20220725,110000,192.6100000,194.6500000,191.5000000,193.9100000,6416230
GAZP,60,20220725,120000,193.9000000,194.0000000,193.1500000,193.7600000,2552890
GAZP,60,20220725,130000,193.7500000,193.8900000,192.7600000,193.4100000,1290100
GAZP,60,20220725,140000,193.4000000,194.0000000,193.3200000,193.6000000,1417220
GAZP,60,20220725,150000,193.6500000,194.4500000,193.5600000,194.0600000,1735870
GAZP,60,20220725,160000,194.0600000,194.4000000,193.9000000,194.1800000,669910
GAZP,60,20220725,170000,194.1700000,194.2100000,192.6000000,193.2500000,2055530
GAZP,60,20220725,180000,193.2500000,193.6900000,190.5600000,192.5500000,4380350
GAZP,60,20220725,190000,192.5400000,192.9500000,191.7300000,192.0000000,1573180
GAZP,60,20220726,110000,192.0000000,193.8500000,191.2000000,192.7900000,4485380
GAZP,60,20220726,120000,192.7900000,193.1900000,192.0800000,192.7700000,1713980
GAZP,60,20220726,130000,192.7700000,193.5000000,192.5000000,193.1600000,1954690
GAZP,60,20220726,140000,193.0800000,193.2800000,192.6100000,193.2000000,1631210
GAZP,60,20220726,150000,193.2000000,194.4400000,193.0100000,194.3500000,3302270
GAZP,60,20220726,160000,194.3000000,194.4900000,192.7100000,192.7500000,3030370
GAZP,60,20220726,170000,192.7800000,193.4900000,192.7500000,193.0000000,1572210
GAZP,60,20220726,180000,193.0000000,193.5000000,192.9900000,193.2200000,1032420
GAZP,60,20220726,190000,193.2100000,193.9500000,193.2000000,193.9500000,1224840
GAZP,60,20220727,110000,194.5100000,197.5000000,194.1000000,196.2400000,11082040
GAZP,60,20220727,120000,196.2400000,196.6900000,195.2000000,196.1400000,3508160
GAZP,60,20220727,130000,196.0300000,196.8800000,195.6600000,196.3000000,2067800
GAZP,60,20220727,140000,196.3000000,196.8500000,196.1700000,196.6500000,1276530
GAZP,60,20220727,150000,196.6200000,196.8800000,195.4500000,195.8800000,2535530
GAZP,60,20220727,160000,195.8800000,195.9900000,194.5000000,195.2800000,2457240
GAZP,60,20220727,170000,195.2500000,195.8900000,194.7200000,195.7000000,2042160
GAZP,60,20220727,180000,195.7000000,196.4500000,195.5500000,196.2700000,1543190
GAZP,60,20220727,190000,196.2700000,196.8000000,195.6100000,196.4900000,1794450
GAZP,60,20220728,110000,198.0300000,198.7900000,197.0200000,197.8000000,6541220
GAZP,60,20220728,120000,197.8000000,197.8800000,195.2700000,195.7100000,5069970
GAZP,60,20220728,130000,195.7300000,196.2800000,195.0000000,196.2100000,2148180
GAZP,60,20220728,140000,196.2000000,196.5500000,195.4000000,196.4000000,1181850
GAZP,60,20220728,150000,196.4000000,197.2900000,196.3100000,197.0600000,1825600
GAZP,60,20220728,160000,197.0600000,197.3500000,195.8100000,195.8100000,1584550
GAZP,60,20220728,170000,195.8000000,196.3500000,195.7000000,195.9900000,1606240
GAZP,60,20220728,180000,196.0000000,196.3800000,195.7100000,196.3500000,1077310
GAZP,60,20220728,190000,196.3500000,196.3700000,196.0000000,196.2500000,813840
GAZP,60,20220729,110000,196.2000000,196.8000000,195.0500000,196.0900000,2801890
GAZP,60,20220729,120000,196.0700000,196.4900000,195.7200000,196.2800000,1080620
GAZP,60,20220729,130000,196.2500000,196.7000000,195.7100000,196.2300000,1162270
GAZP,60,20220729,140000,196.2300000,196.3000000,195.2500000,195.3300000,850140
GAZP,60,20220729,150000,195.3000000,195.3200000,193.5000000,193.8500000,3754670
GAZP,60,20220729,160000,193.8300000,194.8700000,193.7500000,194.6500000,1655860
GAZP,60,20220729,170000,194.6400000,195.4000000,194.3100000,194.7100000,1140490
GAZP,60,20220729,180000,194.7000000,195.3900000,194.6000000,195.3900000,796610
GAZP,60,20220729,190000,195.3900000,195.4400000,194.9100000,195.2600000,866270
GAZP,60,20220801,110000,194.5000000,194.6900000,193.0000000,193.0200000,3623620
GAZP,60,20220801,120000,193.0100000,193.2500000,192.1500000,193.0500000,2662360
GAZP,60,20220801,130000,193.0500000,193.3800000,192.5500000,193.3000000,1008270
GAZP,60,20220801,140000,193.3000000,193.6000000,192.5600000,192.7500000,1026260
GAZP,60,20220801,150000,192.7100000,193.1800000,192.6000000,193.1000000,759540
GAZP,60,20220801,160000,193.1000000,193.5000000,192.8800000,193.2300000,995170
GAZP,60,20220801,170000,193.1500000,193.5000000,192.8200000,193.0000000,887710
GAZP,60,20220801,180000,192.9900000,193.0600000,192.8000000,192.9600000,714710
GAZP,60,20220801,190000,192.9600000,193.1000000,192.0000000,192.0000000,1357290
GAZP,60,20220802,110000,191.5600000,191.6800000,189.3000000,189.5900000,4696610
GAZP,60,20220802,120000,189.5500000,189.7000000,188.8800000,189.0600000,2990980
GAZP,60,20220802,130000,189.0600000,189.3000000,188.0000000,188.4900000,3892880
GAZP,60,20220802,140000,188.4500000,189.2400000,188.2000000,188.4300000,3039240
GAZP,60,20220802,150000,188.4300000,188.5000000,187.6000000,188.2800000,1928420
GAZP,60,20220802,160000,188.3000000,188.3000000,187.5200000,187.7800000,1565090
GAZP,60,20220802,170000,187.7800000,187.9800000,186.8000000,187.4000000,2667590
GAZP,60,20220802,180000,187.4000000,187.6000000,186.8900000,187.4800000,1719020
GAZP,60,20220802,190000,187.4500000,187.6000000,186.9200000,187.1600000,1767740
GAZP,60,20220803,110000,187.5900000,188.9700000,186.3100000,188.0600000,4690470
GAZP,60,20220803,120000,188.0400000,188.3400000,187.7400000,188.2800000,1620900
GAZP,60,20220803,130000,188.2400000,188.3300000,187.6000000,188.0600000,828820
GAZP,60,20220803,140000,188.1000000,188.2300000,187.7500000,187.9700000,575770
GAZP,60,20220803,150000,187.9700000,188.2500000,187.1000000,188.0900000,1412970
GAZP,60,20220803,160000,188.1000000,188.1000000,187.6100000,187.7500000,612900
GAZP,60,20220803,170000,187.7500000,187.8000000,187.0100000,187.4000000,888120
GAZP,60,20220803,180000,187.4000000,187.6500000,187.2100000,187.3900000,567090
GAZP,60,20220803,190000,187.3900000,187.4000000,187.0400000,187.0400000,808920
GAZP,60,20220804,110000,187.0400000,187.2200000,185.5500000,185.8800000,3868600
GAZP,60,20220804,120000,185.8900000,186.0000000,185.5000000,185.8200000,1389720
GAZP,60,20220804,130000,185.9000000,186.0000000,185.0000000,185.1300000,1904040
GAZP,60,20220804,140000,185.1300000,185.6000000,185.1000000,185.2000000,1141910
GAZP,60,20220804,150000,185.2100000,185.4600000,185.1700000,185.1900000,590840
GAZP,60,20220804,160000,185.2000000,185.3000000,184.3000000,184.9000000,2149890
GAZP,60,20220804,170000,184.9200000,185.4000000,184.5600000,185.3100000,756260
GAZP,60,20220804,180000,185.3100000,185.4000000,185.0000000,185.1200000,699980
GAZP,60,20220804,190000,185.1200000,185.3300000,184.8800000,184.9000000,812710
GAZP,60,20220805,110000,184.7500000,185.6200000,180.2000000,180.3300000,10626540
GAZP,60,20220805,120000,180.3300000,181.0000000,175.7500000,177.8300000,15470170
GAZP,60,20220805,130000,177.8000000,178.8500000,176.0700000,177.6600000,5858540
GAZP,60,20220805,140000,177.6600000,179.4000000,177.2000000,178.9800000,2727350
GAZP,60,20220805,150000,178.9800000,179.5000000,177.7900000,178.1800000,2427680
GAZP,60,20220805,160000,178.1700000,178.2000000,176.1100000,176.2800000,3804390
GAZP,60,20220805,170000,176.2800000,180.0000000,176.2200000,178.4100000,3794010
GAZP,60,20220805,180000,178.3300000,178.9900000,177.0100000,177.2800000,1804460
GAZP,60,20220805,190000,177.2600000,178.2000000,176.5800000,176.5800000,2555980
GAZP,60,20220808,110000,180.0000000,181.5800000,177.5500000,180.4600000,15752960
GAZP,60,20220808,120000,180.4800000,181.8200000,179.2500000,180.1300000,4230810
GAZP,60,20220808,130000,180.1200000,180.3900000,179.0700000,179.3800000,1622220
GAZP,60,20220808,140000,179.3700000,179.6000000,177.5100000,178.2600000,3847800
GAZP,60,20220808,150000,178.2600000,179.2000000,177.8000000,178.9700000,1590030
GAZP,60,20220808,160000,178.9600000,179.2800000,178.1500000,178.7000000,1616100
GAZP,60,20220808,170000,178.7400000,178.8000000,178.2000000,178.3500000,739590
GAZP,60,20220808,180000,178.3100000,178.4000000,177.7400000,177.7400000,1081280
GAZP,60,20220808,190000,177.8200000,177.9800000,177.2500000,177.8600000,2017580
GAZP,60,20220809,110000,178.0100000,179.5000000,176.2300000,176.8000000,4820510
GAZP,60,20220809,120000,176.7900000,176.8000000,175.2000000,176.3000000,4773250
GAZP,60,20220809,130000,176.3500000,177.2800000,175.8400000,176.3900000,2652910
GAZP,60,20220809,140000,176.3900000,177.1500000,176.3200000,176.9500000,1332680
GAZP,60,20220809,150000,176.9500000,177.4400000,176.6000000,177.3400000,1576190
GAZP,60,20220809,160000,177.3100000,178.3700000,177.2000000,177.9000000,2077120
GAZP,60,20220809,170000,177.9000000,177.9500000,177.1000000,177.4700000,709420
GAZP,60,20220809,180000,177.4900000,178.2900000,176.9000000,178.2500000,1641870
GAZP,60,20220809,190000,178.2400000,181.3800000,178.2300000,181.0400000,4811320
GAZP,60,20220810,110000,181.0300000,182.3300000,179.2000000,179.8000000,5534760
GAZP,60,20220810,120000,179.8000000,180.6500000,179.5000000,180.3900000,2330150
GAZP,60,20220810,130000,180.3900000,181.9400000,180.3100000,181.6300000,3187380
GAZP,60,20220810,140000,181.7000000,181.9800000,180.4900000,180.5000000,1572010
GAZP,60,20220810,150000,180.5000000,180.9500000,180.2000000,180.6000000,1299290
GAZP,60,20220810,160000,180.5400000,180.9500000,179.6500000,180.6800000,1572180
GAZP,60,20220810,170000,180.6800000,180.7000000,178.8000000,179.0600000,2369470
GAZP,60,20220810,180000,179.0600000,179.8000000,179.0000000,179.3600000,953840
GAZP,60,20220810,190000,179.3600000,179.3600000,178.5300000,178.8100000,1592120
GAZP,60,20220811,110000,179.4700000,180.6300000,178.2500000,179.2000000,3835120
GAZP,60,20220811,120000,179.2000000,179.2000000,178.2500000,179.1300000,1926620
GAZP,60,20220811,130000,179.1300000,179.3100000,176.6000000,177.5000000,3419660
GAZP,60,20220811,140000,177.5000000,178.2100000,177.3200000,177.7100000,1010380
GAZP,60,20220811,150000,177.7100000,178.0000000,177.0000000,177.2800000,1173940
GAZP,60,20220811,160000,177.2800000,177.4900000,177.0000000,177.1100000,1431270
GAZP,60,20220811,170000,177.1100000,177.4000000,176.2100000,176.3500000,2971710
GAZP,60,20220811,180000,176.3300000,176.7600000,173.5100000,174.8800000,7742320
GAZP,60,20220811,190000,174.8800000,175.0000000,173.6300000,174.1000000,3229640
GAZP,60,20220812,110000,174.5000000,175.8800000,172.7000000,174.8200000,6073040
GAZP,60,20220812,120000,174.8200000,174.9300000,173.5000000,173.5700000,2361470
GAZP,60,20220812,130000,173.5700000,173.7400000,172.2900000,173.7100000,3505910
GAZP,60,20220812,140000,173.7300000,174.0000000,173.0000000,173.6800000,1465510
GAZP,60,20220812,150000,173.6800000,174.1000000,173.6000000,173.6500000,1075760
GAZP,60,20220812,160000,173.6500000,173.9000000,173.3100000,173.9000000,1163380
GAZP,60,20220812,170000,173.9000000,174.6500000,173.6500000,174.5500000,1818750
GAZP,60,20220812,180000,174.5500000,175.3000000,173.8000000,174.9100000,1507280
GAZP,60,20220812,190000,174.9400000,175.3600000,174.2900000,174.3600000,1415900
GAZP,60,20220815,110000,174.0600000,175.5000000,172.8700000,173.9500000,4228560
GAZP,60,20220815,120000,173.9500000,173.9600000,173.0200000,173.3300000,2727070
GAZP,60,20220815,130000,173.2900000,173.6400000,173.0000000,173.2500000,1760250
GAZP,60,20220815,140000,173.2400000,173.9600000,173.1500000,173.2000000,1004130
GAZP,60,20220815,150000,173.2000000,173.2500000,172.4000000,172.7500000,3098630
GAZP,60,20220815,160000,172.7600000,173.3500000,172.5200000,173.2200000,1248470
GAZP,60,20220815,170000,173.2200000,174.2000000,173.1900000,173.8000000,1975940
GAZP,60,20220815,180000,173.8000000,174.8800000,173.6700000,174.6300000,1251160
GAZP,60,20220815,190000,174.6300000,174.8000000,174.2300000,174.8000000,1165630
GAZP,60,20220816,110000,175.4000000,178.9400000,174.7000000,178.6200000,8595880
GAZP,60,20220816,120000,178.6200000,179.3000000,178.0000000,178.4700000,4414310
GAZP,60,20220816,130000,178.4700000,179.1600000,178.0500000,178.7900000,2111140
GAZP,60,20220816,140000,178.8400000,180.8000000,178.7200000,180.3600000,5338880
GAZP,60,20220816,150000,180.3600000,181.2700000,179.5500000,179.8700000,3920530
GAZP,60,20220816,160000,179.8500000,181.6000000,179.8000000,181.4900000,3095920
GAZP,60,20220816,170000,181.4900000,181.6100000,180.5000000,181.0700000,2185980
GAZP,60,20220816,180000,181.0300000,181.0700000,179.7500000,180.9500000,1889010
GAZP,60,20220816,190000,180.9500000,181.3000000,180.5500000,181.3000000,1477190
GAZP,60,20220817,110000,181.9000000,182.4900000,179.0100000,179.5200000,7118710
GAZP,60,20220817,120000,179.5200000,179.7000000,177.1400000,178.0200000,5887790
GAZP,60,20220817,130000,178.0200000,179.1500000,177.7500000,178.5100000,1992960
GAZP,60,20220817,140000,178.5100000,178.8000000,177.8200000,178.5600000,1143440
GAZP,60,20220817,150000,178.6100000,178.6300000,177.2500000,177.6900000,1774060
GAZP,60,20220817,160000,177.6600000,177.7000000,176.7200000,177.0600000,2061700
GAZP,60,20220817,170000,177.0600000,177.3000000,176.9000000,177.2000000,1529000
GAZP,60,20220817,180000,177.2000000,177.3700000,176.9200000,177.1000000,1057440
GAZP,60,20220817,190000,177.1100000,177.2000000,176.4000000,176.5000000,1598420
GAZP,60,20220818,110000,176.4000000,177.6800000,175.5000000,177.2700000,4816640
GAZP,60,20220818,120000,177.2800000,177.5800000,176.3000000,176.9300000,2154770
GAZP,60,20220818,130000,176.9400000,177.3800000,176.4000000,177.1000000,1471030
GAZP,60,20220818,140000,177.1000000,177.1000000,176.5200000,176.6300000,879800
GAZP,60,20220818,150000,176.6200000,176.9900000,176.3500000,176.9200000,831600
GAZP,60,20220818,160000,176.9100000,177.3000000,176.8000000,177.2400000,1098210
GAZP,60,20220818,170000,177.2400000,178.3300000,177.0200000,177.9000000,1517160
GAZP,60,20220818,180000,177.9000000,179.3700000,177.5400000,178.8300000,2308980
GAZP,60,20220818,190000,178.8600000,179.0000000,178.3100000,178.8700000,935330
GAZP,60,20220819,110000,178.7800000,178.9000000,177.2000000,177.5400000,2527120
GAZP,60,20220819,120000,177.4800000,178.2800000,177.0000000,177.4800000,1923340
GAZP,60,20220819,130000,177.4500000,177.9500000,177.4400000,177.7800000,459420
GAZP,60,20220819,140000,177.7800000,177.8400000,177.5000000,177.6000000,370120
GAZP,60,20220819,150000,177.5600000,177.6600000,176.7400000,177.0500000,1146480
GAZP,60,20220819,160000,177.0500000,177.2000000,176.6000000,177.2000000,693480
GAZP,60,20220819,170000,177.1800000,177.4400000,176.9600000,177.0300000,658600
GAZP,60,20220819,180000,177.0300000,177.5000000,176.8000000,177.3000000,773400
GAZP,60,20220819,190000,177.3400000,177.6000000,177.2500000,177.6000000,634810
GAZP,60,20220822,110000,177.4000000,178.9700000,176.8800000,178.8800000,3646070
GAZP,60,20220822,120000,178.8100000,180.3800000,178.6600000,179.4400000,3731740
GAZP,60,20220822,130000,179.4400000,179.8400000,179.0900000,179.5000000,1167990
GAZP,60,20220822,140000,179.4800000,179.8800000,179.4000000,179.8800000,805090
GAZP,60,20220822,150000,179.8700000,180.7800000,179.7000000,180.7700000,2440720
GAZP,60,20220822,160000,180.7700000,182.2000000,180.7600000,181.1700000,5110260
GAZP,60,20220822,170000,181.1700000,181.8000000,180.8100000,180.8700000,2272020
